Age,Gender,Country,treatment,work_interfere,remote_work,mental_health_consequence,phys_health_consequence,mental_vs_physical
37,F,Canada,Yes,Rarely,Yes,Yes,Maybe,Don't know
34,F,United Kingdom,Yes,Often,Yes,Yes,Yes,Don't know
28,M,United States,Yes,Often,No,Maybe,No,Don't know
27,M,Canada,No,Never,No,No,No,Yes
29,M,United Kingdom,Yes,Sometimes,Yes,No,No,Yes
39,F,United Kingdom,No,Rarely,Yes,Yes,Yes,No
28,M,United Kingdom,No,Often,No,Yes,No,Yes
23,M,United States,No,Sometimes,No,No,No,Don't know
38,M,United Kingdom,No,N/N,Yes,No,No,Don't know
19,M,United Kingdom,No,N/N,No,No,No,Yes
30,F,United States,Yes,Sometimes,No,No,No,Yes
28,M,United Kingdom,No,N/N,Yes,Maybe,Maybe,Yes
20,M,India,Yes,Sometimes,No,Yes,No,Yes
35,M,United Kingdom,No,Sometimes,No,No,No,Don't know
39,M,United States,Yes,Rarely,Yes,Maybe,No,Don't know
31,F,United States,No,Never,No,Yes,Yes,Don't know
32,M,United Kingdom,No,Rarely,No,Yes,No,Don't know
27,M,Sweden,No,N/N,No,No,No,Don't know
25,M,United States,Yes,Often,Yes,No,No,Don't know
42,M,United States,Yes,Sometimes,Yes,Maybe,No,Don't know
34,M,United States,Yes,Often,No,No,No,Don't know
26,F,United States,Yes,Sometimes,Yes,Maybe,No,Don't know
35,M,United Kingdom,Yes,Sometimes,No,Yes,Yes,Yes
34,M,United Kingdom,No,Never,No,Maybe,No,Yes
38,M,United States,Yes,Sometimes,Yes,No,No,Don't know
34,M,United States,No,Sometimes,No,Yes,No,Don't know
39,M,United States,Yes,Sometimes,Yes,No,No,Yes
44,F,United States,No,N/N,No,Yes,No,Don't know
40,M,United States,No,N/N,No,Maybe,No,Don't know
33,F,United States,No,Never,Yes,Maybe,No,Yes
24,F,United States,No,Sometimes,No,Yes,Maybe,No
38,F,United States,No,Sometimes,Yes,No,No,Don't know
31,M,United States,No,Sometimes,No,Yes,Maybe,Yes
23,M,Israel,No,N/N,No,Maybe,No,Don't know
26,F,United States,No,N/N,No,No,No,Yes
46,No binarie/others,United States,Yes,Often,No,Yes,No,No
30,M,United States,Yes,Sometimes,Yes,Maybe,No,Don't know
25,M,United States,No,Rarely,Yes,Yes,No,Don't know
19,M,Canada,No,Never,Yes,No,No,No
30,F,United States,Yes,Sometimes,No,Maybe,Maybe,No
32,M,United States,No,Never,No,No,No,Yes
32,M,United Kingdom,No,N/N,No,Maybe,Maybe,Don't know
37,M,United States,No,Sometimes,Yes,Maybe,No,No
42,M,United States,Yes,Sometimes,Yes,Maybe,Maybe,Don't know
25,F,United States,No,Never,No,Maybe,No,Yes
19,M,United States,No,Sometimes,No,No,No,Don't know
40,F,United States,No,Never,Yes,Yes,Yes,Don't know
34,M,United States,No,N/N,No,Maybe,Maybe,Don't know
26,M,United States,No,N/N,No,No,No,Yes
31,M,United States,Yes,Rarely,No,No,No,Yes
40,M,United States,No,Sometimes,Yes,Yes,Maybe,No
31,F,United States,Yes,Often,No,Yes,No,No
36,M,United States,No,Never,No,Yes,Maybe,Don't know
35,M,Canada,No,Sometimes,Yes,Maybe,No,Don't know
26,M,Australia,Yes,Sometimes,Yes,No,No,Yes
44,M,United States,No,N/N,Yes,Yes,No,No
34,F,United States,No,Sometimes,No,No,No,Yes
35,M,United States,No,N/N,Yes,No,No,Don't know
28,F,United States,Yes,Sometimes,Yes,Yes,No,No
33,M,United States,No,N/N,Yes,No,No,Yes
40,M,United States,Yes,Sometimes,Yes,Yes,No,Don't know
26,M,United States,Yes,Sometimes,No,Maybe,No,Don't know
29,F,United Kingdom,Yes,Often,No,Maybe,No,No
26,F,Canada,Yes,Sometimes,No,Maybe,No,Don't know
33,No binarie/others,Italy,Yes,Sometimes,No,No,No,Don't know
28,M,Brazil,No,Sometimes,No,No,No,Don't know
41,M,United States,Yes,Often,Yes,No,No,Yes
39,M,United Kingdom,Yes,Sometimes,Yes,No,No,Yes
26,F,United States,Yes,Sometimes,No,No,No,No
23,F,United States,No,Sometimes,No,Yes,No,No
35,M,Switzerland,Yes,Often,No,No,No,No
36,M,United States,No,Never,Yes,No,No,Don't know
42,M,United States,No,Rarely,No,Maybe,No,No
39,M,United States,Yes,Sometimes,No,No,No,Yes
27,M,United States,No,Never,No,Maybe,No,Don't know
33,M,United States,No,Never,Yes,Maybe,No,Yes
31,M,Canada,Yes,Often,No,Maybe,No,Don't know
28,F,United States,Yes,Rarely,No,No,No,Don't know
29,F,United States,Yes,Often,Yes,No,No,Don't know
27,M,United States,Yes,Sometimes,No,Maybe,No,No
44,M,United States,No,Never,Yes,No,No,Don't know
25,M,United States,Yes,Often,Yes,Maybe,No,Don't know
24,M,Germany,Yes,Sometimes,No,Maybe,No,Don't know
25,M,South Africa,Yes,Often,No,No,No,No
34,M,United States,No,Never,Yes,Maybe,Maybe,Don't know
26,M,United States,No,Never,No,Maybe,No,Don't know
48,M,United States,No,Never,No,Maybe,No,Don't know
34,M,Greece,No,N/N,Yes,Yes,Maybe,No
39,F,United States,Yes,Sometimes,Yes,Maybe,Maybe,No
43,M,United States,No,Sometimes,Yes,Maybe,No,Don't know
41,M,United States,No,Rarely,No,Maybe,Maybe,Yes
25,M,United States,No,Never,No,No,No,Don't know
31,M,United States,Yes,Sometimes,No,Maybe,No,No
40,M,United States,Yes,Sometimes,No,Yes,Yes,No
43,M,United States,Yes,Sometimes,Yes,Maybe,Maybe,Don't know
27,F,United States,Yes,Often,No,Maybe,No,No
37,F,United States,Yes,Sometimes,Yes,Yes,Maybe,Don't know
32,M,Netherlands,Yes,Sometimes,No,Maybe,No,No
25,M,United States,Yes,Often,No,Maybe,No,No
29,M,Netherlands,Yes,Often,No,No,Maybe,Yes
30,F,United States,Yes,Often,No,Yes,No,No
34,F,Canada,Yes,Often,No,No,No,Yes
32,M,United Kingdom,Yes,Sometimes,No,Maybe,Maybe,No
37,M,Germany,No,N/N,No,No,No,Yes
41,M,Germany,Yes,Sometimes,No,No,No,Yes
38,M,United States,No,Never,No,Yes,Maybe,No
32,M,United States,Yes,Sometimes,No,No,No,Don't know
28,F,United States,Yes,Sometimes,No,Maybe,No,Yes
43,M,United States,No,Never,No,Maybe,No,No
32,M,United States,Yes,Often,No,Yes,No,No
25,M,United States,Yes,Sometimes,No,Yes,No,Yes
37,M,United States,Yes,Sometimes,No,No,No,Yes
36,M,United States,Yes,Sometimes,No,No,No,No
24,M,United States,Yes,Rarely,Yes,No,No,Yes
40,M,United States,Yes,Sometimes,No,Maybe,No,Don't know
29,M,United States,No,N/N,No,No,No,Yes
43,M,United States,No,Never,No,No,No,Yes
29,M,United States,No,N/N,Yes,Maybe,No,Don't know
26,M,United States,No,Sometimes,No,Maybe,No,Don't know
33,F,Canada,Yes,Often,Yes,Yes,Yes,No
35,F,United States,No,Sometimes,Yes,No,No,Yes
45,M,United States,No,Never,Yes,Yes,Maybe,Don't know
25,M,United States,Yes,Rarely,Yes,Maybe,No,Don't know
50,M,France,Yes,Sometimes,Yes,Maybe,Maybe,Don't know
26,M,Australia,Yes,Rarely,No,No,No,Yes
33,F,United States,Yes,Often,No,Yes,No,Don't know
30,M,India,No,Often,No,Maybe,Maybe,Don't know
33,M,Croatia,Yes,Sometimes,Yes,No,No,Yes
29,M,France,Yes,Often,No,Maybe,Maybe,No
37,M,Germany,No,N/N,Yes,Maybe,No,Don't know
25,M,United States,Yes,Sometimes,Yes,No,No,Don't know
40,M,United States,No,N/N,No,Maybe,No,Don't know
24,M,Canada,No,Sometimes,No,Maybe,No,Don't know
40,M,United Kingdom,Yes,Never,No,Maybe,No,Don't know
46,M,United States,Yes,Sometimes,No,Yes,Maybe,Don't know
38,M,United States,Yes,Rarely,No,Yes,No,Don't know
34,M,United States,No,Never,Yes,Yes,Yes,Don't know
32,M,United Kingdom,Yes,Rarely,No,No,No,No
44,M,United Kingdom,Yes,Sometimes,No,Maybe,No,No
33,F,United Kingdom,Yes,Never,No,Maybe,No,No
45,F,United States,Yes,Rarely,No,No,No,Don't know
35,M,United States,No,N/N,No,No,No,Yes
26,M,Germany,Yes,Often,No,Maybe,No,No
20,F,United States,Yes,Sometimes,Yes,No,No,Don't know
37,M,Netherlands,No,Sometimes,No,Maybe,No,Yes
28,M,United States,No,N/N,No,Maybe,No,No
42,F,United States,Yes,Sometimes,No,Yes,No,No
32,M,United Kingdom,No,N/N,No,Maybe,No,Don't know
36,F,United States,Yes,Rarely,Yes,Maybe,Maybe,Don't know
27,M,New Zealand,No,Rarely,No,Yes,No,No
27,M,New Zealand,No,Rarely,No,Yes,No,No
27,M,United Kingdom,Yes,Sometimes,No,Maybe,No,No
25,M,United Kingdom,Yes,Sometimes,Yes,No,No,Yes
41,M,United Kingdom,No,N/N,No,Maybe,Maybe,Don't know
23,M,Germany,Yes,Sometimes,No,Maybe,No,Don't know
21,M,United Kingdom,Yes,Sometimes,No,Maybe,No,Don't know
26,M,Moldova,Yes,Often,No,No,No,Don't know
29,M,Sweden,No,Rarely,No,Maybe,Maybe,Don't know
28,M,Belgium,No,Sometimes,No,Yes,Maybe,Don't know
27,F,United Kingdom,No,N/N,No,Maybe,No,Yes
23,M,Israel,No,Never,No,No,No,Yes
26,F,United States,No,Sometimes,Yes,Maybe,No,Don't know
38,M,United Kingdom,Yes,Sometimes,No,No,No,Don't know
39,M,United Kingdom,Yes,Sometimes,No,Maybe,Maybe,Yes
35,M,United States,Yes,Often,No,Yes,No,Don't know
32,M,United States,No,Rarely,No,Maybe,No,Don't know
32,M,United States,Yes,Sometimes,No,Maybe,Maybe,Don't know
26,M,United Kingdom,No,Never,No,Yes,Maybe,Don't know
38,M,Canada,Yes,Rarely,No,No,No,No
34,F,United Kingdom,No,Rarely,No,No,No,Yes
39,M,United States,Yes,Often,No,Yes,No,Don't know
32,M,Canada,No,Never,Yes,No,No,Yes
37,M,Netherlands,No,Never,Yes,Yes,Yes,Don't know
31,M,United Kingdom,Yes,Never,No,No,No,Don't know
30,M,United States,Yes,Rarely,No,No,No,Don't know
51,M,Singapore,No,Never,Yes,Yes,No,No
29,M,United States,Yes,Sometimes,No,Yes,No,Don't know
31,M,United Kingdom,No,Never,No,Maybe,Yes,Yes
31,M,India,No,N/N,No,Yes,Yes,Don't know
26,M,United States,Yes,Sometimes,Yes,Maybe,No,Don't know
46,F,United States,Yes,Often,Yes,Maybe,No,No
32,M,United States,No,Sometimes,No,Maybe,No,Don't know
29,M,United States,Yes,Sometimes,No,Maybe,No,Don't know
34,M,Poland,No,Never,Yes,Maybe,No,Don't know
26,M,Colombia,No,Often,No,Yes,No,Yes
32,F,United States,Yes,Sometimes,No,Maybe,No,No
29,M,United States,No,N/N,No,Maybe,No,No
30,M,United States,No,N/N,No,Yes,Maybe,Don't know
40,F,United States,Yes,Sometimes,No,No,No,Yes
23,M,United Kingdom,Yes,Sometimes,No,Maybe,No,No
20,M,Georgia,No,Rarely,No,Yes,Yes,No
38,M,United States,No,N/N,No,No,No,Don't know
26,F,United States,Yes,Rarely,No,Maybe,Maybe,No
29,M,United States,No,Never,No,No,No,No
40,M,China,No,Sometimes,Yes,No,No,Don't know
25,F,Bulgaria,Yes,Sometimes,Yes,Maybe,Maybe,No
32,F,United States,Yes,Sometimes,No,Maybe,Maybe,No
38,M,United States,Yes,Sometimes,No,Maybe,No,No
72,F,United States,Yes,Never,Yes,Maybe,Maybe,Don't know
35,F,United States,Yes,Sometimes,Yes,Maybe,Maybe,Yes
28,F,United States,Yes,Often,No,Yes,Maybe,Don't know
27,F,United States,No,Never,No,No,No,Yes
56,F,United States,No,Rarely,Yes,Maybe,Maybe,Don't know
38,M,United States,Yes,Sometimes,Yes,Maybe,No,Don't know
31,F,Belgium,No,N/N,No,Maybe,No,Don't know
40,M,United States,Yes,Sometimes,No,Maybe,No,Yes
44,M,United States,Yes,Sometimes,No,Maybe,No,Don't know
34,M,Canada,No,Sometimes,No,Maybe,No,Don't know
37,M,United Kingdom,No,Never,Yes,No,No,Don't know
38,M,Italy,No,Never,No,No,No,No
27,M,Germany,No,N/N,No,No,No,Don't know
34,F,Ireland,Yes,Sometimes,No,Yes,Yes,Yes
35,F,Ireland,No,Rarely,No,Maybe,No,No
34,M,Ireland,Yes,Often,No,Yes,Maybe,No
32,M,United States,Yes,Often,Yes,Yes,Maybe,Don't know
25,M,Ireland,No,N/N,No,Maybe,No,Don't know
28,M,Australia,Yes,Often,Yes,Yes,No,No
28,F,United States,Yes,Rarely,No,Yes,Yes,No
31,M,Brazil,Yes,N/N,No,No,No,Don't know
24,M,United Kingdom,No,N/N,No,Maybe,Maybe,Don't know
34,M,Ireland,Yes,Never,Yes,Maybe,No,Don't know
32,M,Ireland,Yes,Sometimes,No,No,No,Don't know
34,M,United Kingdom,No,Often,Yes,Maybe,No,Yes
23,M,United States,Yes,Sometimes,No,Maybe,Maybe,No
33,M,Czech Republic,No,Often,No,No,No,Don't know
29,M,Singapore,Yes,Sometimes,No,Maybe,No,No
24,M,Ireland,No,N/N,No,Maybe,Maybe,Don't know
45,M,Ireland,No,Never,Yes,Yes,No,No
34,F,United Kingdom,Yes,Sometimes,No,Maybe,Maybe,No
31,M,Philippines,No,Sometimes,No,Yes,Yes,No
33,M,United States,Yes,Often,Yes,Maybe,No,Don't know
28,M,Netherlands,No,N/N,No,Maybe,Maybe,Don't know
27,M,United Kingdom,No,Rarely,Yes,No,No,Don't know
42,M,Ireland,No,Never,No,Yes,Yes,No
28,M,Netherlands,No,N/N,No,Maybe,Maybe,Don't know
38,M,United States,Yes,Sometimes,Yes,No,No,Don't know
46,M,United States,Yes,Often,No,Maybe,No,No
46,M,United States,Yes,Sometimes,Yes,No,No,Don't know
41,F,Netherlands,Yes,Rarely,Yes,No,No,Yes
23,M,United Kingdom,No,Never,No,Maybe,No,Yes
24,M,Ireland,Yes,Sometimes,No,Maybe,No,Yes
23,F,Ireland,Yes,Rarely,No,No,No,Don't know
39,M,Netherlands,No,N/N,No,Maybe,Maybe,Yes
32,F,Ireland,No,Never,No,Maybe,No,Don't know
25,M,United States,Yes,Sometimes,No,Yes,No,Don't know
39,M,Greece,No,N/N,Yes,Yes,No,Don't know
23,F,United Kingdom,Yes,Sometimes,No,No,No,Yes
24,No binarie/others,United Kingdom,Yes,Sometimes,Yes,Maybe,Maybe,Don't know
25,M,United Kingdom,Yes,Sometimes,No,No,No,Yes
23,M,United Kingdom,Yes,Rarely,No,No,No,Don't know
24,No binarie/others,United Kingdom,Yes,Sometimes,No,Yes,Maybe,Don't know
23,M,Canada,Yes,Often,No,Maybe,No,Don't know
60,M,United States,Yes,Often,Yes,Maybe,Maybe,Don't know
28,M,Ireland,No,Sometimes,No,Yes,Maybe,No
28,M,United States,Yes,Often,No,Yes,Maybe,No
30,M,Netherlands,No,Sometimes,No,Maybe,No,Don't know
31,M,Germany,Yes,Sometimes,No,No,No,Don't know
31,M,Poland,Yes,Often,Yes,Maybe,No,Don't know
28,M,Ireland,Yes,Rarely,No,Maybe,No,Don't know
43,F,United States,Yes,Rarely,Yes,No,No,Don't know
32,F,United Kingdom,No,N/N,No,Maybe,No,No
22,M,Australia,Yes,Often,No,Maybe,Maybe,Don't know
32,M,United States,No,Never,No,No,No,Don't know
36,M,Finland,Yes,Often,No,Yes,No,Don't know
41,F,United States,Yes,Sometimes,No,Yes,Maybe,Don't know
30,M,United States,Yes,Sometimes,No,No,No,Yes
30,M,United States,Yes,Often,No,No,No,Yes
36,M,South Africa,Yes,Often,No,No,No,Yes
29,M,United States,Yes,Sometimes,Yes,Yes,No,No
36,M,United States,No,Rarely,No,Maybe,Maybe,Don't know
26,M,United Kingdom,Yes,N/N,No,No,No,Don't know
32,M,United States,Yes,Often,Yes,No,No,Yes
34,M,United States,Yes,Sometimes,No,Yes,Yes,No
46,F,United States,No,N/N,Yes,Yes,No,No
25,M,United States,Yes,Sometimes,No,Maybe,No,Don't know
